ID,Predictions
D2-1,Human
D2-2,Human
D2-3,AI
D2-4,AI
D2-5,Human
D2-6,AI
D2-7,AI
D2-8,Human
D2-9,Human
D2-10,AI
D2-11,Human
D2-12,AI
D2-13,AI
D2-14,AI
D2-15,AI
D2-16,Human
D2-17,AI
D2-18,Human
D2-19,Human
D2-20,Human
D2-21,Human
D2-22,AI
D2-23,Human
D2-24,Human
D2-25,AI
D2-26,Human
D2-27,Human
D2-28,AI
D2-29,AI
D2-30,Human
D2-31,AI
D2-32,Human
D2-33,Human
D2-34,Human
D2-35,AI
D2-36,AI
D2-37,Human
D2-38,AI
D2-39,Human
D2-40,Human
D2-41,Human
D2-42,AI
D2-43,AI
D2-44,AI
D2-45,Human
D2-46,Human
D2-47,AI
D2-48,Human
D2-49,Human
D2-50,Human
D2-51,AI
D2-52,Human
D2-53,Human
D2-54,AI
D2-55,Human
D2-56,AI
D2-57,Human
D2-58,AI
D2-59,Human
D2-60,AI
D2-61,AI
D2-62,AI
D2-63,AI
D2-64,Human
D2-65,AI
D2-66,AI
D2-67,AI
D2-68,AI
D2-69,AI
D2-70,Human
D2-71,Human
D2-72,Human
D2-73,AI
D2-74,Human
D2-75,AI
D2-76,Human
D2-77,AI
D2-78,Human
D2-79,Human
D2-80,Human
D2-81,Human
D2-82,AI
D2-83,Human
D2-84,Human
D2-85,AI
D2-86,AI
D2-87,AI
D2-88,AI
D2-89,Human
D2-90,Human
D2-91,AI
D2-92,Human
D2-93,AI
D2-94,AI
D2-95,Human
D2-96,AI
D2-97,AI
D2-98,AI
D2-99,Human
D2-100,AI
