ID	Label
D2-1	AI
D2-2	AI
D2-3	AI
D2-4	Human
D2-5	AI
D2-6	AI
D2-7	AI
D2-8	Human
D2-9	AI
D2-10	Human
D2-11	Human
D2-12	Human
D2-13	Human
D2-14	Human
D2-15	AI
D2-16	Human
D2-17	Human
D2-18	AI
D2-19	Human
D2-20	Human
D2-21	Human
D2-22	Human
D2-23	AI
D2-24	AI
D2-25	AI
D2-26	AI
D2-27	Human
D2-28	Human
D2-29	Human
D2-30	Human
D2-31	AI
D2-32	Human
D2-33	Human
D2-34	Human
D2-35	Human
D2-36	AI
D2-37	AI
D2-38	Human
D2-39	Human
D2-40	Human
D2-41	Human
D2-42	Human
D2-43	Human
D2-44	Human
D2-45	AI
D2-46	Human
D2-47	Human
D2-48	Human
D2-49	Human
D2-50	Human
D2-51	AI
D2-52	Human
D2-53	AI
D2-54	Human
D2-55	AI
D2-56	AI
D2-57	Human
D2-58	AI
D2-59	Human
D2-60	AI
D2-61	Human
D2-62	Human
D2-63	AI
D2-64	AI
D2-65	Human
D2-66	AI
D2-67	Human
D2-68	AI
D2-69	AI
D2-70	Human
D2-71	AI
D2-72	Human
D2-73	Human
D2-74	AI
D2-75	Human
D2-76	Human
D2-77	Human
D2-78	Human
D2-79	Human
D2-80	Human
D2-81	Human
D2-82	Human
D2-83	AI
D2-84	Human
D2-85	AI
D2-86	Human
D2-87	Human
D2-88	Human
D2-89	Human
D2-90	AI
D2-91	AI
D2-92	Human
D2-93	Human
D2-94	Human
D2-95	Human
D2-96	Human
D2-97	AI
D2-98	Human
D2-99	AI
D2-100	Human
